-0.064	0.244	8.770
-0.141	0.077	8.679
-0.117	0.215	8.846
0.089	0.153	8.827
-0.064	0.187	8.731
-0.107	0.153	8.750
-0.045	0.124	8.726
-0.083	0.254	8.683
-0.131	0.120	8.750
-0.093	0.191	8.726
-0.064	0.115	8.755
-0.079	0.235	8.683
-0.103	0.191	8.712
-0.059	0.139	8.726
-0.074	0.235	8.717
-0.045	0.215	8.703
-0.098	0.172	8.779
-0.098	0.235	8.712
-0.093	0.182	8.741
-0.069	0.163	8.760
-0.098	0.230	8.722
-0.069	0.124	8.621
-0.055	0.158	8.722
-0.074	0.230	8.770
-0.093	0.144	8.703
-0.050	0.177	8.703
-0.098	0.057	8.717
-0.079	0.153	8.664
-0.050	0.220	8.712
-0.083	0.187	8.851
-0.040	0.062	8.726
-0.064	0.115	8.822
-0.126	0.278	8.750
-0.098	0.115	8.674
-0.059	0.168	8.664
-0.131	0.206	8.789
-0.174	0.191	8.626
-0.098	0.168	8.636
-0.079	0.191	8.698
-0.002	0.168	8.837
-0.083	0.153	8.736
-0.040	0.168	8.793
-0.050	0.153	8.784
-0.031	0.182	8.707
-0.093	0.225	8.837
-0.007	0.177	8.592
0.017	0.115	8.717
-0.098	0.067	8.750
-0.079	0.211	8.813
-0.074	0.168	8.688
-0.093	0.177	8.760
-0.012	0.215	8.736
-0.122	0.196	8.755
-0.002	0.225	8.722
-0.083	0.172	8.793
-0.126	0.225	8.631
-0.059	0.225	8.813
-0.064	0.196	8.693
-0.117	0.163	8.736
-0.074	0.153	8.602
-0.107	0.120	8.722
-0.031	0.187	8.774
-0.007	0.168	8.717
-0.098	0.110	8.726
-0.016	0.158	8.741
-0.064	0.110	8.731
-0.040	0.249	8.679
-0.093	0.187	8.750
-0.093	0.158	8.746
-0.016	0.172	8.640
-0.055	0.225	8.803
-0.050	0.220	8.703
-0.050	0.177	8.817
-0.040	0.177	8.750
-0.036	0.187	8.669
-0.040	0.144	8.722
-0.141	0.215	8.731
-0.064	0.187	8.774
-0.069	0.258	8.793
-0.040	0.273	8.746
-0.074	0.177	8.822
-0.093	0.225	8.726
-0.079	0.120	8.741
-0.103	0.220	8.789
-0.103	0.191	8.827
-0.093	0.168	8.736
-0.126	0.191	8.707
-0.170	0.115	8.827
-0.050	0.225	8.698
0.003	0.105	8.779
-0.040	0.172	8.793
-0.040	0.163	8.770
0.017	0.129	8.736
-0.083	0.168	8.813
-0.007	0.191	8.784
-0.050	0.124	8.659
-0.007	0.172	8.717
-0.055	0.177	8.755
-0.122	0.081	8.588
-0.126	0.129	8.659
-0.103	0.177	8.683
-0.059	0.225	8.813
-0.126	0.168	8.645
-0.021	0.168	8.726
-0.040	0.139	8.703
-0.050	0.110	8.755
-0.045	0.206	8.722
-0.203	0.196	8.760
-0.021	0.110	8.703
-0.107	0.172	8.698
-0.055	0.225	8.693
-0.174	0.115	8.793
0.008	0.124	8.741
-0.069	0.225	8.631
-0.055	0.153	8.726
-0.074	0.168	8.674
-0.083	0.187	8.640
-0.040	0.182	8.669
-0.059	0.258	8.789
-0.103	0.129	8.798
-0.098	0.153	8.760
-0.074	0.211	8.631
-0.059	0.148	8.712
-0.050	0.215	8.707
-0.103	0.230	8.808
-0.059	0.153	8.722
-0.016	0.177	8.664
-0.069	0.120	8.717
-0.103	0.148	8.770
-0.131	0.220	8.679
-0.174	0.282	8.636
-0.045	0.177	8.707
-0.083	0.172	8.722
-0.069	0.148	8.808
-0.122	0.153	8.693
-0.141	0.110	8.659
-0.107	0.282	8.636
-0.122	0.168	8.813
-0.107	0.230	8.813
-0.059	0.163	8.703
-0.093	0.254	8.683
-0.016	0.220	8.765
-0.021	0.163	8.731
-0.050	0.120	8.731
-0.055	0.191	8.679
-0.055	0.235	8.664
-0.045	0.158	8.803
-0.069	0.172	8.712
-0.064	0.177	8.698
0.046	0.191	8.765
-0.045	0.225	8.784
-0.074	0.168	8.473
-0.040	0.148	8.913
-0.031	0.244	8.789
-0.083	0.244	8.741
-0.012	0.215	8.779
-0.050	0.230	8.784
-0.079	0.225	8.578
0.022	0.268	8.975
0.185	0.526	9.152
-0.466	0.321	6.688
-0.227	-0.450	10.521
-0.122	0.225	8.607
0.070	0.225	8.698
-0.155	0.086	8.846
-0.098	0.177	8.726
-0.131	0.187	8.674
-0.002	0.067	8.774
-0.093	0.144	8.703
-0.036	0.191	8.760
-0.074	0.144	8.803
-0.155	0.187	8.856
-0.160	0.101	8.870
-0.059	0.034	8.559
-0.126	0.124	8.736
-0.107	0.086	8.650
-0.136	0.230	8.736
-0.050	0.144	8.621
-0.280	0.067	8.908
0.060	0.220	8.506
-0.107	0.110	8.975
-0.241	0.148	8.798
0.008	0.144	8.793
-0.174	0.244	8.669
-0.213	-0.019	8.688
-0.083	0.158	8.674
-0.036	0.129	8.693
-0.122	0.153	8.722
-0.112	0.081	8.822
-0.079	-0.048	8.913
1.213	-0.785	9.138
-0.117	-1.732	8.344
1.639	2.536	9.985
-1.868	1.589	7.779
-1.079	0.436	9.602
1.405	-0.158	7.501
0.223	0.904	9.530
0.299	0.416	8.722
0.491	0.316	8.583
